Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,92,1,92,7.666666666666666
relator,85,2,177,14.75
subkind,80,3,257,21.416666666666668
category,78,4,335,27.916666666666668
role,76,5,411,34.25
mediation,71,6,482,40.166666666666664
characterization,61,7,543,45.25
mode,51,8,594,49.5
event,49,9,643,53.583333333333336
roleMixin,49,10,692,57.666666666666664
material,48,11,740,61.66666666666667
componentOf,38,12,778,64.83333333333333
quality,37,13,815,67.91666666666667
phase,36,14,851,70.91666666666666
derivation,34,15,885,73.75
collective,30,16,915,76.25
memberOf,26,17,941,78.41666666666667
participation,25,18,966,80.5
type,24,19,990,82.5
datatype,23,20,1013,84.41666666666666
externalDependence,21,21,1034,86.16666666666667
mixin,20,22,1054,87.83333333333333
situation,20,23,1074,89.5
creation,15,24,1089,90.75
instantiation,15,25,1104,92.0
historicalDependence,14,26,1118,93.16666666666666
manifestation,12,27,1130,94.16666666666667
bringsAbout,11,28,1141,95.08333333333333
quantity,10,29,1151,95.91666666666666
triggers,9,30,1160,96.66666666666667
phaseMixin,8,31,1168,97.33333333333334
enumeration,8,32,1176,98.0
comparative,5,33,1181,98.41666666666666
subCollectionOf,4,34,1185,98.75
historicalRole,4,35,1189,99.08333333333333
historicalRoleMixin,3,36,1192,99.33333333333333
participational,3,37,1195,99.58333333333333
subQuantityOf,2,38,1197,99.75
termination,2,39,1199,99.91666666666667
abstract,1,40,1200,100.0
