Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
mediation,1737,1,1737,43.24122479462285
material,537,2,2274,56.60941000746826
characterization,455,3,2729,67.9362708488922
componentOf,445,4,3174,79.01418969380134
derivation,176,5,3350,83.39556883246205
memberOf,170,6,3520,87.62758277321385
participation,146,7,3666,91.2621359223301
externalDependence,73,8,3739,93.07941249688822
instantiation,63,9,3802,94.64774707493154
creation,43,10,3845,95.71819765994523
historicalDependence,35,11,3880,96.58949464774707
manifestation,34,12,3914,97.43589743589743
comparative,28,13,3942,98.13293502613891
bringsAbout,26,14,3968,98.78018421707742
subCollectionOf,19,15,3987,99.25317401045557
triggers,15,16,4002,99.62658700522779
participational,9,17,4011,99.85063480209111
subQuantityOf,3,18,4014,99.92531740104556
termination,3,19,4017,100.0
