Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
role,1445,1,1445,23.82522671063479
subkind,1059,2,2504,41.286067600989284
relator,935,3,3439,56.702390766694144
kind,708,4,4147,68.37592745259687
roleMixin,342,5,4489,74.01483924154988
category,312,6,4801,79.15910964550702
mode,296,7,5097,84.03957131079966
none,238,8,5335,87.96372629843363
event,154,9,5489,90.50288540807915
type,139,10,5628,92.79472382522671
phase,137,11,5765,95.05358615004123
collective,70,12,5835,96.20774938169828
mixin,68,13,5903,97.32893652102226
other,64,14,5967,98.38417147568012
quantity,33,15,6000,98.92827699917561
enumeration,25,16,6025,99.34047815333884
situation,17,17,6042,99.62077493816983
quality,13,18,6055,99.83511953833471
datatype,10,19,6065,100.0
historicalRole,0,20,6065,100.0
abstract,0,21,6065,100.0
phaseMixin,0,22,6065,100.0
historicalRoleMixin,0,23,6065,100.0
