Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
mediation,1342,1,1342,37.381615598885794
none,732,2,2074,57.77158774373259
other,370,3,2444,68.07799442896936
componentOf,328,4,2772,77.21448467966574
material,312,5,3084,85.90529247910862
characterization,176,6,3260,90.80779944289694
memberOf,134,7,3394,94.54038997214485
derivation,119,8,3513,97.85515320334261
subCollectionOf,19,9,3532,98.38440111420613
comparative,15,10,3547,98.80222841225627
participation,15,11,3562,99.22005571030641
externalDependence,10,12,3572,99.49860724233983
historicalDependence,5,13,3577,99.63788300835654
subQuantityOf,3,14,3580,99.72144846796658
bringsAbout,3,15,3583,99.8050139275766
manifestation,3,16,3586,99.88857938718662
instantiation,2,17,3588,99.94428969359332
triggers,2,18,3590,100.0
creation,0,19,3590,100.0
participational,0,20,3590,100.0
termination,0,21,3590,100.0
