Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,22,1,22,11.34020618556701
relator,21,2,43,22.164948453608247
subkind,21,3,64,32.98969072164948
role,20,4,84,43.29896907216495
category,20,5,104,53.608247422680414
event,13,6,117,60.30927835051546
roleMixin,13,7,130,67.0103092783505
mode,11,8,141,72.68041237113401
other,8,9,149,76.80412371134021
collective,7,10,156,80.41237113402062
phase,6,11,162,83.50515463917526
mixin,5,12,167,86.08247422680412
situation,5,13,172,88.65979381443299
none,5,14,177,91.23711340206185
datatype,4,15,181,93.29896907216495
quality,4,16,185,95.36082474226805
quantity,3,17,188,96.90721649484536
enumeration,3,18,191,98.4536082474227
type,3,19,194,100.0
historicalRole,0,20,194,100.0
abstract,0,21,194,100.0
phaseMixin,0,22,194,100.0
historicalRoleMixin,0,23,194,100.0
