Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
kind,168,1,168,15.135135135135137
subkind,150,2,318,28.64864864864865
event,138,3,456,41.08108108108108
role,100,4,556,50.09009009009009
none,87,5,643,57.927927927927925
relator,86,6,729,65.67567567567568
category,79,7,808,72.7927927927928
mode,65,8,873,78.64864864864865
roleMixin,57,9,930,83.78378378378379
other,55,10,985,88.73873873873875
type,24,11,1009,90.90090090090091
phase,24,12,1033,93.06306306306307
collective,16,13,1049,94.50450450450451
situation,15,14,1064,95.85585585585585
quality,13,15,1077,97.02702702702702
quantity,10,16,1087,97.92792792792793
enumeration,10,17,1097,98.82882882882883
datatype,7,18,1104,99.45945945945947
mixin,6,19,1110,100.0
historicalRole,0,20,1110,100.0
abstract,0,21,1110,100.0
phaseMixin,0,22,1110,100.0
historicalRoleMixin,0,23,1110,100.0
