Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,22,1,22,11.282051282051283
relator,21,2,43,22.05128205128205
subkind,21,3,64,32.82051282051282
role,20,4,84,43.07692307692308
category,20,5,104,53.333333333333336
event,14,6,118,60.51282051282051
roleMixin,13,7,131,67.17948717948717
mode,12,8,143,73.33333333333333
collective,7,9,150,76.92307692307693
other,7,10,157,80.51282051282051
mixin,5,11,162,83.07692307692308
phase,5,12,167,85.64102564102564
situation,5,13,172,88.2051282051282
none,5,14,177,90.76923076923077
datatype,4,15,181,92.82051282051282
type,4,16,185,94.87179487179486
quality,4,17,189,96.92307692307692
enumeration,3,18,192,98.46153846153847
quantity,3,19,195,100.0
historicalRole,0,20,195,100.0
abstract,0,21,195,100.0
phaseMixin,0,22,195,100.0
historicalRoleMixin,0,23,195,100.0
