Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
none_r,605,1,605,28.836987607244996
kind,168,2,773,36.84461391801716
subkind,150,3,923,43.994280266920875
event,138,4,1061,50.5719733079123
role,100,5,1161,55.338417540514776
none_c,87,6,1248,59.48522402287894
relator,86,7,1334,63.58436606291706
mediation,86,8,1420,67.68350810295519
other_r,83,9,1503,71.63965681601525
category,79,10,1582,75.40514775977121
mode,65,11,1647,78.50333651096281
roleMixin,57,12,1704,81.22020972354623
other_c,55,13,1759,83.84175405147761
material,51,14,1810,86.27264061010487
characterization,46,15,1856,88.465204957102
componentOf,41,16,1897,90.41944709246901
type,24,17,1921,91.56339370829362
phase,24,18,1945,92.7073403241182
derivation,21,19,1966,93.70829361296474
collective,16,20,1982,94.47092469018112
participation,15,21,1997,95.1858913250715
situation,15,22,2012,95.90085795996187
quality,13,23,2025,96.5204957102002
quantity,10,24,2035,96.99714013346043
memberOf,10,25,2045,97.47378455672069
enumeration,10,26,2055,97.95042897998093
externalDependence,8,27,2063,98.33174451858913
datatype,7,28,2070,98.66539561487131
subCollectionOf,7,29,2077,98.99904671115348
mixin,6,30,2083,99.28503336510963
historicalDependence,5,31,2088,99.52335557673975
manifestation,3,32,2091,99.66634890371783
bringsAbout,3,33,2094,99.80934223069589
triggers,2,34,2096,99.90467111534795
instantiation,2,35,2098,100.0
abstract,0,36,2098,100.0
historicalRole,0,37,2098,100.0
historicalRoleMixin,0,38,2098,100.0
phaseMixin,0,39,2098,100.0
comparative,0,40,2098,100.0
creation,0,41,2098,100.0
participational,0,42,2098,100.0
subQuantityOf,0,43,2098,100.0
termination,0,44,2098,100.0
