Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
none,599,1,599,61.372950819672134
other,83,2,682,69.87704918032787
mediation,80,3,762,78.07377049180327
material,51,4,813,83.29918032786885
characterization,46,5,859,88.01229508196722
componentOf,41,6,900,92.21311475409836
derivation,21,7,921,94.36475409836066
participation,15,8,936,95.90163934426229
memberOf,10,9,946,96.92622950819673
externalDependence,8,10,954,97.74590163934425
subCollectionOf,7,11,961,98.46311475409836
historicalDependence,5,12,966,98.97540983606558
bringsAbout,3,13,969,99.2827868852459
manifestation,3,14,972,99.59016393442623
instantiation,2,15,974,99.79508196721312
triggers,2,16,976,100.0
comparative,0,17,976,100.0
creation,0,18,976,100.0
participational,0,19,976,100.0
subQuantityOf,0,20,976,100.0
termination,0,21,976,100.0
