Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,29,1,29,8.011049723756907
relator,28,2,57,15.745856353591158
category,27,3,84,23.204419889502763
subkind,27,4,111,30.662983425414364
role,26,5,137,37.84530386740331
mediation,21,6,158,43.646408839779006
roleMixin,19,7,177,48.89502762430939
material,19,8,196,54.14364640883977
mode,17,9,213,58.83977900552486
componentOf,16,10,229,63.25966850828729
event,16,11,245,67.67955801104972
characterization,15,12,260,71.8232044198895
memberOf,12,13,272,75.13812154696133
collective,12,14,284,78.45303867403315
derivation,10,15,294,81.21546961325967
phase,9,16,303,83.70165745856355
mixin,9,17,312,86.1878453038674
type,8,18,320,88.39779005524862
datatype,6,19,326,90.05524861878453
situation,6,20,332,91.71270718232044
quantity,5,21,337,93.0939226519337
subCollectionOf,4,22,341,94.1988950276243
quality,4,23,345,95.30386740331491
enumeration,4,24,349,96.40883977900553
externalDependence,3,25,352,97.23756906077348
subQuantityOf,2,26,354,97.79005524861878
participation,2,27,356,98.34254143646409
historicalDependence,1,28,357,98.61878453038673
triggers,1,29,358,98.89502762430939
manifestation,1,30,359,99.17127071823204
bringsAbout,1,31,360,99.4475138121547
comparative,1,32,361,99.72375690607734
instantiation,1,33,362,100.0
historicalRoleMixin,0,34,362,100.0
abstract,0,35,362,100.0
historicalRole,0,36,362,100.0
phaseMixin,0,37,362,100.0
creation,0,38,362,100.0
participational,0,39,362,100.0
termination,0,40,362,100.0
