Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
none_r,2239,1,2239,12.267148805610343
subkind,2025,2,4264,23.36182336182336
mediation,1967,3,6231,34.13872452333991
role,1845,4,8076,44.247205785667326
kind,1588,5,9664,52.947622178391406
relator,1247,6,10911,59.77975016436555
material,623,7,11534,63.19307473153627
category,582,8,12116,66.38176638176638
roleMixin,576,9,12692,69.5375849222003
characterization,558,10,13250,72.59478413324567
componentOf,551,11,13801,75.61363138286215
mode,543,12,14344,78.58864781941705
other_r,531,13,14875,81.49791803637957
event,474,14,15349,84.09489371027833
none_c,380,15,15729,86.17685733070348
phase,332,16,16061,87.99583607275915
quality,251,17,16312,89.3710278325663
derivation,219,18,16531,90.5708963401271
type,213,19,16744,91.73789173789174
participation,211,20,16955,92.89392943239098
memberOf,203,21,17158,94.00613631382862
collective,132,22,17290,94.72934472934473
other_c,110,23,17400,95.3320184089415
datatype,88,24,17488,95.81415735261889
mixin,84,25,17572,96.27438088976551
situation,79,26,17651,96.70721016874863
externalDependence,77,27,17728,97.12908174446636
enumeration,74,28,17802,97.534516765286
instantiation,69,29,17871,97.91255752794214
creation,60,30,17931,98.241288625904
quantity,44,31,17975,98.48235809774272
historicalDependence,44,32,18019,98.72342756958142
comparative,37,33,18056,98.92614507999123
manifestation,34,34,18090,99.11242603550295
bringsAbout,30,35,18120,99.27679158448389
subCollectionOf,27,36,18147,99.42472057856673
historicalRole,23,37,18170,99.55073416611879
phaseMixin,20,38,18190,99.66031119877273
participational,17,39,18207,99.7534516765286
triggers,16,40,18223,99.84111330265176
subQuantityOf,14,41,18237,99.91781722550954
historicalRoleMixin,9,42,18246,99.96712689020382
termination,5,43,18251,99.9945211483673
abstract,1,44,18252,100.0
