Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
mediation,1972,1,1972,46.400000000000006
material,623,2,2595,61.05882352941177
characterization,562,3,3157,74.28235294117647
formal,383,4,3540,83.29411764705881
derivation,219,5,3759,88.44705882352942
participation,214,6,3973,93.48235294117647
creation,75,7,4048,95.2470588235294
instantiation,72,8,4120,96.94117647058823
manifestation,40,9,4160,97.88235294117648
comparative,37,10,4197,98.75294117647059
termination,20,11,4217,99.22352941176472
participational,17,12,4234,99.62352941176471
triggers,16,13,4250,100.0
bringsAbout,0,14,4250,100.0
componentOf,0,15,4250,100.0
externalDependence,0,16,4250,100.0
historicalDependence,0,17,4250,100.0
memberOf,0,18,4250,100.0
subQuantityOf,0,19,4250,100.0
subCollectionOf,0,20,4250,100.0
