Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
mediation,79,1,79,15.339805825242719
characterization,70,2,149,28.932038834951456
material,55,3,204,39.6116504854369
componentOf,45,4,249,48.349514563106794
derivation,39,5,288,55.92233009708738
memberOf,32,6,320,62.13592233009708
participation,31,7,351,68.15533980582525
formal,24,8,375,72.81553398058253
externalDependence,24,9,399,77.47572815533981
creation,20,10,419,81.35922330097087
instantiation,18,11,437,84.85436893203884
historicalDependence,17,12,454,88.15533980582524
manifestation,14,13,468,90.87378640776699
bringsAbout,12,14,480,93.20388349514563
triggers,10,15,490,95.14563106796116
comparative,6,16,496,96.31067961165049
subCollectionOf,6,17,502,97.47572815533981
termination,5,18,507,98.44660194174757
participational,4,19,511,99.22330097087378
subQuantityOf,4,20,515,100.0
