Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
none,106,1,106,16.878980891719745
mediation,78,2,184,29.29936305732484
characterization,69,3,253,40.28662420382166
material,54,4,307,48.88535031847134
componentOf,45,5,352,56.05095541401274
derivation,39,6,391,62.261146496815286
memberOf,32,7,423,67.35668789808918
participation,30,8,453,72.13375796178345
formal,24,9,477,75.95541401273886
externalDependence,23,10,500,79.61783439490446
creation,19,11,519,82.64331210191082
instantiation,18,12,537,85.50955414012739
other,16,13,553,88.05732484076432
historicalDependence,16,14,569,90.60509554140127
manifestation,13,15,582,92.67515923566879
bringsAbout,12,16,594,94.5859872611465
triggers,10,17,604,96.17834394904459
comparative,6,18,610,97.13375796178345
subCollectionOf,6,19,616,98.08917197452229
participational,4,20,620,98.72611464968153
subQuantityOf,4,21,624,99.36305732484077
termination,4,22,628,100.0
