Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,966,1,966,21.6252518468771
kind,880,2,1846,41.32527423326617
role,400,3,2246,50.27982986344303
event,320,4,2566,57.443474367584514
relator,312,5,2878,64.42802775912246
category,270,6,3148,70.47235280949184
mode,247,7,3395,76.00179091112604
quality,238,8,3633,81.32975151108126
roleMixin,234,9,3867,86.56816655473473
phase,195,10,4062,90.93351242444594
datatype,78,11,4140,92.67965077233042
type,74,12,4214,94.33624356391313
collective,62,13,4276,95.72419968659055
situation,62,14,4338,97.11215580926796
enumeration,49,15,4387,98.20908887396463
historicalRole,23,16,4410,98.7239758226998
phaseMixin,20,17,4430,99.17170360420864
mixin,16,18,4446,99.52988582941572
quantity,11,19,4457,99.77613610924558
historicalRoleMixin,9,20,4466,99.97761361092455
abstract,1,21,4467,100.0
