Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,74,1,74,11.314984709480122
relator,64,2,138,21.100917431192663
subkind,64,3,202,30.886850152905197
category,60,4,262,40.0611620795107
role,59,5,321,49.08256880733945
mode,42,6,363,55.5045871559633
quality,40,7,403,61.62079510703364
event,38,8,441,67.43119266055045
roleMixin,36,9,477,72.93577981651376
phase,33,10,510,77.98165137614679
collective,24,11,534,81.65137614678899
datatype,21,12,555,84.86238532110092
type,19,13,574,87.76758409785933
none,15,14,589,90.06116207951071
situation,15,15,604,92.35474006116208
mixin,13,16,617,94.34250764525994
phaseMixin,8,17,625,95.565749235474
other,8,18,633,96.78899082568807
quantity,7,19,640,97.85932721712538
enumeration,5,20,645,98.62385321100918
historicalRole,5,21,650,99.38837920489296
historicalRoleMixin,3,22,653,99.84709480122325
abstract,1,23,654,100.0
