Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
mediation,630,1,630,32.390745501285345
characterization,386,2,1016,52.236503856041125
material,311,3,1327,68.22622107969151
participation,199,4,1526,78.45758354755785
derivation,100,5,1626,83.59897172236504
creation,75,6,1701,87.45501285347044
instantiation,70,7,1771,91.05398457583547
formal,64,8,1835,94.34447300771208
manifestation,37,9,1872,96.24678663239075
comparative,22,10,1894,97.37789203084833
termination,20,11,1914,98.40616966580977
participational,17,12,1931,99.28020565552698
triggers,14,13,1945,100.0
bringsAbout,0,14,1945,100.0
componentOf,0,15,1945,100.0
externalDependence,0,16,1945,100.0
historicalDependence,0,17,1945,100.0
memberOf,0,18,1945,100.0
subQuantityOf,0,19,1945,100.0
subCollectionOf,0,20,1945,100.0
