Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
none,1504,1,1504,38.182279766438185
mediation,625,2,2129,54.04925107895405
characterization,382,3,2511,63.74714394516374
material,311,4,2822,71.64254887027164
componentOf,223,5,3045,77.3038842345773
participation,196,6,3241,82.27976643818228
other,161,7,3402,86.36709824828637
derivation,100,8,3502,88.9058136582889
memberOf,69,9,3571,90.65752729119066
instantiation,67,10,3638,92.35846661589235
externalDependence,67,11,3705,94.05940594059405
creation,60,12,3765,95.58263518659558
historicalDependence,39,13,3804,96.57273419649657
manifestation,31,14,3835,97.35973597359737
bringsAbout,27,15,3862,98.04518913429806
comparative,22,16,3884,98.6037065244986
participational,17,17,3901,99.03528814419904
triggers,14,18,3915,99.39070830159939
subQuantityOf,11,19,3926,99.66996699669967
subCollectionOf,8,20,3934,99.87306422949987
termination,5,21,3939,100.0
