Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
kind,25,1,25,27.173913043478258
subkind,23,2,48,52.17391304347826
category,7,3,55,59.78260869565217
relator,6,4,61,66.30434782608695
quantity,6,5,67,72.82608695652173
role,5,6,72,78.26086956521739
enumeration,5,7,77,83.69565217391305
situation,4,8,81,88.04347826086956
mode,3,9,84,91.30434782608695
event,3,10,87,94.56521739130434
quality,2,11,89,96.73913043478261
collective,1,12,90,97.82608695652173
datatype,1,13,91,98.91304347826086
mixin,1,14,92,100.0
abstract,0,15,92,100.0
historicalRole,0,16,92,100.0
historicalRoleMixin,0,17,92,100.0
phaseMixin,0,18,92,100.0
phase,0,19,92,100.0
roleMixin,0,20,92,100.0
type,0,21,92,100.0
