Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,29,1,29,12.446351931330472
relator,28,2,57,24.463519313304722
subkind,27,3,84,36.05150214592275
category,27,4,111,47.63948497854077
role,26,5,137,58.798283261802574
mode,17,6,154,66.09442060085837
event,16,7,170,72.96137339055794
collective,12,8,182,78.11158798283262
phase,9,9,191,81.97424892703863
mixin,9,10,200,85.83690987124464
type,8,11,208,89.27038626609442
datatype,6,12,214,91.84549356223177
situation,6,13,220,94.4206008583691
quantity,5,14,225,96.56652360515021
enumeration,4,15,229,98.28326180257511
quality,4,16,233,100.0
abstract,0,17,233,100.0
phaseMixin,0,18,233,100.0
historicalRoleMixin,0,19,233,100.0
historicalRole,0,20,233,100.0
roleMixin,0,21,233,100.0
