Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,29,1,29,9.177215189873419
relator,28,2,57,18.037974683544302
category,27,3,84,26.582278481012654
subkind,27,4,111,35.12658227848101
role,26,5,137,43.35443037974683
mediation,21,6,158,50.0
material,19,7,177,56.0126582278481
mode,17,8,194,61.39240506329114
event,16,9,210,66.45569620253164
characterization,15,10,225,71.20253164556962
collective,12,11,237,75.0
formal,12,12,249,78.79746835443038
derivation,10,13,259,81.9620253164557
phase,9,14,268,84.81012658227847
mixin,9,15,277,87.65822784810126
type,8,16,285,90.18987341772153
datatype,6,17,291,92.08860759493672
situation,6,18,297,93.9873417721519
quantity,5,19,302,95.56962025316456
quality,4,20,306,96.83544303797468
enumeration,4,21,310,98.10126582278481
participation,2,22,312,98.73417721518987
comparative,1,23,313,99.0506329113924
manifestation,1,24,314,99.36708860759494
triggers,1,25,315,99.68354430379746
instantiation,1,26,316,100.0
historicalRoleMixin,0,27,316,100.0
abstract,0,28,316,100.0
historicalRole,0,29,316,100.0
componentOf,0,30,316,100.0
bringsAbout,0,31,316,100.0
roleMixin,0,32,316,100.0
phaseMixin,0,33,316,100.0
historicalDependence,0,34,316,100.0
externalDependence,0,35,316,100.0
creation,0,36,316,100.0
memberOf,0,37,316,100.0
participational,0,38,316,100.0
subCollectionOf,0,39,316,100.0
subQuantityOf,0,40,316,100.0
termination,0,41,316,100.0
