Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
none_r,33,1,33,7.6923076923076925
kind,29,2,62,14.452214452214452
relator,28,3,90,20.97902097902098
category,27,4,117,27.27272727272727
subkind,27,5,144,33.56643356643357
role,26,6,170,39.62703962703963
mediation,21,7,191,44.52214452214452
material,19,8,210,48.95104895104895
roleMixin,19,9,229,53.379953379953385
mode,17,10,246,57.34265734265735
componentOf,16,11,262,61.07226107226107
event,16,12,278,64.80186480186481
other_r,16,13,294,68.53146853146853
characterization,15,14,309,72.02797202797203
memberOf,12,15,321,74.82517482517483
collective,12,16,333,77.62237762237763
other_c,10,17,343,79.95337995337995
derivation,10,18,353,82.28438228438229
mixin,9,19,362,84.38228438228438
phase,9,20,371,86.48018648018649
none_c,8,21,379,88.34498834498834
type,8,22,387,90.20979020979021
datatype,6,23,393,91.6083916083916
situation,6,24,399,93.00699300699301
quantity,5,25,404,94.17249417249417
quality,4,26,408,95.1048951048951
subCollectionOf,4,27,412,96.03729603729604
enumeration,4,28,416,96.96969696969697
externalDependence,3,29,419,97.66899766899768
subQuantityOf,2,30,421,98.13519813519814
participation,2,31,423,98.6013986013986
historicalDependence,1,32,424,98.83449883449883
manifestation,1,33,425,99.06759906759906
triggers,1,34,426,99.3006993006993
bringsAbout,1,35,427,99.53379953379954
comparative,1,36,428,99.76689976689977
instantiation,1,37,429,100.0
historicalRole,0,38,429,100.0
abstract,0,39,429,100.0
historicalRoleMixin,0,40,429,100.0
creation,0,41,429,100.0
phaseMixin,0,42,429,100.0
participational,0,43,429,100.0
termination,0,44,429,100.0
