Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
mediation,1342,1,1342,47.80904880655504
componentOf,328,2,1670,59.49412183826149
formal,319,3,1989,70.85856786604916
material,312,4,2301,81.97363733523333
characterization,176,5,2477,88.24367652297826
memberOf,134,6,2611,93.01745635910224
derivation,119,7,2730,97.2568578553616
subCollectionOf,19,8,2749,97.93373708585679
participation,15,9,2764,98.46811542572141
comparative,15,10,2779,99.00249376558602
externalDependence,10,11,2789,99.35874599216245
historicalDependence,5,12,2794,99.53687210545066
bringsAbout,3,13,2797,99.64374777342358
subQuantityOf,3,14,2800,99.75062344139651
manifestation,3,15,2803,99.85749910936943
instantiation,2,16,2805,99.92874955468471
triggers,2,17,2807,100.0
creation,0,18,2807,100.0
participational,0,19,2807,100.0
termination,0,20,2807,100.0
