Construct,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
isDerived,40319,1,40319,9.165429651536815
name,23937,2,64256,14.606856511549138
aggregationKind,19346,3,83602,19.00464420565443
isOrdered,19346,4,102948,23.40243189975972
isReadOnly,19346,5,122294,27.800219593865013
Property,19346,6,141640,32.198007287970306
stereotype,18362,7,160002,36.37210930591517
none,18050,8,178052,40.47528659727258
propertyType,18022,9,196074,44.57209884906445
relationEnd,17584,10,213658,48.56934369622394
cardinality,16983,11,230641,52.429967515565934
cardinalityValue,16983,12,247624,56.29059133490792
Cardinality,16983,13,264607,60.15121515424992
lowerBound,12934,14,277541,63.09140878784641
upperBound,12934,15,290475,66.03160242144291
isExtensional,12181,16,302656,68.80062195529469
isAbstract,12181,17,314837,71.56964148914648
isPowertype,12181,18,327018,74.33866102299825
order,12181,19,339199,77.10768055685003
Class,12181,20,351380,79.87670009070182
restrictedTo,9464,21,360844,82.02808346385453
Relation,8792,22,369636,84.02670588743428
targetEnd,8792,23,378428,86.02532831101402
sourceEnd,8792,24,387220,88.02395073459375
Generalization,8582,25,395802,89.97483536143194
general,8582,26,404384,91.92571998827013
specific,8582,27,412966,93.87660461510833
relator,2686,28,415652,94.48719376771697
subkind,2032,29,417684,94.94911378190191
mediation,2021,30,419705,95.40853324482897
description,1953,31,421658,95.85249475452542
role,1859,32,423517,96.275087917109
attribute,1762,33,425279,96.6756307640548
kind,1598,34,426877,97.03889266497387
generalization,1476,35,428353,97.37442117921451
event,951,36,429304,97.59060520160126
composite,947,37,430251,97.80587993262151
material,636,38,430887,97.95045725989593
category,588,39,431475,98.08412309077228
roleMixin,577,40,432052,98.21528837039074
componentOf,573,41,432625,98.3455443586427
characterization,561,42,433186,98.47307247279514
isComplete,557,43,433743,98.59969129558107
isDisjoint,557,44,434300,98.726310118367
GeneralizationSet,557,45,434857,98.85292894115294
quality,554,46,435411,98.97886579541398
mode,545,47,435956,99.1027567441004
collective,503,48,436459,99.2171001334385
type,428,49,436887,99.31439430965463
shared,349,50,437236,99.39372998138226
phase,332,51,437568,99.46920116480224
participation,229,52,437797,99.52125809553469
derivation,228,53,438025,99.57308770342553
literal,215,54,438240,99.62196211437522
Literal,215,55,438455,99.6708365253249
memberOf,203,56,438658,99.71698306217507
quantity,193,57,438851,99.76085637060898
situation,169,58,439020,99.79927393084384
abstract,151,59,439171,99.83359967992943
datatype,88,60,439259,99.85360408999256
mixin,84,61,439343,99.87269920868918
externalDependence,77,62,439420,99.89020306749443
instantiation,69,63,439489,99.90588834356664
enumeration,65,64,439554,99.92066432827237
creation,61,65,439615,99.93453102161158
historicalDependence,44,66,439659,99.94453322664314
comparative,37,67,439696,99.95294417178332
manifestation,34,68,439730,99.96067314839863
bringsAbout,30,69,439760,99.96749283364743
subCollectionOf,28,70,439788,99.97385787321295
historicalRole,23,71,439811,99.97908629857037
phaseMixin,20,72,439831,99.9836327554029
participational,17,73,439848,99.98749724371055
triggers,16,74,439864,99.99113440917657
subQuantityOf,14,75,439878,99.99431692895934
historicalRoleMixin,9,76,439887,99.99636283453398
subsetsProperty,6,77,439893,99.99772677158374
termination,5,78,439898,99.99886338579186
categorizer,3,79,439901,99.99954535431674
redefinesProperty,2,80,439903,100.0
extrinsicModeNature,0,81,439903,100.0
eventNature,0,82,439903,100.0
functionalComplexNature,0,83,439903,100.0
begin,0,84,439903,100.0
abstractNature,0,85,439903,100.0
collectiveNature,0,86,439903,100.0
end,0,87,439903,100.0
Note,0,88,439903,100.0
intrinsicModeNature,0,89,439903,100.0
qualityNature,0,90,439903,100.0
quantityNature,0,91,439903,100.0
relatorNature,0,92,439903,100.0
property,0,93,439903,100.0
situationNature,0,94,439903,100.0
typeNature,0,95,439903,100.0
