Construct,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
project,63938,1,63938,7.962321623597303
isDerived,40319,2,104257,12.983323931173702
containsView,39250,3,143507,17.871201620907414
Point,36291,4,179798,22.390589372197255
xCoordinate,36291,5,216089,26.909977123487096
yCoordinate,36291,6,252380,31.429364874776933
containsModelElement,30777,7,283157,35.26208364310647
point,28003,8,311160,38.74935087738961
name,23937,9,335097,41.73027134259104
isReadOnly,19346,10,354443,44.13946578298819
Property,19346,11,373789,46.548660223385355
isOrdered,19346,12,393135,48.957854663782506
aggregationKind,19346,13,412481,51.367049104179664
stereotype,18362,14,430843,53.653704139565406
none,18050,15,448893,55.9015052172646
propertyType,18022,16,466915,58.14581940132527
relationEnd,17584,17,484499,60.33558860632597
cardinalityValue,16983,18,501482,62.450514130013815
Cardinality,16983,19,518465,64.56543965370165
cardinality,16983,20,535448,66.68036517738949
upperBound,12934,21,548382,68.29106097456187
lowerBound,12934,22,561316,69.90175677173424
isViewOf,12237,23,573553,71.42565382369021
shape,12237,24,585790,72.94955087564617
isExtensional,12181,25,597971,74.46647414032506
order,12181,26,610152,75.98339740500394
isAbstract,12181,27,622333,77.50032066968284
Class,12181,28,634514,79.01724393436172
isPowertype,12181,29,646695,80.53416719904061
Path,9878,30,656573,81.7642934619499
restrictedTo,9464,31,666037,82.94286351177512
targetEnd,8792,32,674829,84.03774811427547
Relation,8792,33,683621,85.13263271677582
sourceEnd,8792,34,692413,86.22751731927617
specific,8582,35,700995,87.2962502194875
Generalization,8582,36,709577,88.36498311969883
general,8582,37,718159,89.43371601991016
width,8288,38,726447,90.46583653691687
topLeftPosition,8288,39,734735,91.49795705392356
height,8288,40,743023,92.53007757093027
Rectangle,7732,41,750755,93.49295834282889
ClassView,7715,42,758470,94.45372207216126
sourceView,4505,43,762975,95.0147383522186
targetView,4505,44,767480,95.57575463227593
GeneralizationView,4505,45,771985,96.13677091233328
relator,2686,46,774671,96.47126363780141
subkind,2032,47,776703,96.72431249042661
mediation,2021,48,778724,96.97599149197951
description,1953,49,780677,97.21920232326741
role,1859,50,782536,97.45070715448308
attribute,1762,51,784298,97.67013238987954
kind,1598,52,785896,97.86913439110742
generalization,1476,53,787372,98.05294349862454
diagram,1242,54,788614,98.20761213787675
Diagram,1242,55,789856,98.36228077712896
event,951,56,790807,98.48071062892353
composite,947,57,791754,98.59864235305545
Package,786,58,792540,98.69652443876579
material,636,59,793176,98.77572673712682
category,588,60,793764,98.84895150353609
roleMixin,577,61,794341,98.92080641887307
componentOf,573,62,794914,98.99216320654739
characterization,561,63,795475,99.06202561123378
isDisjoint,557,64,796032,99.13138988825752
GeneralizationSet,557,65,796589,99.20075416528124
isComplete,557,66,797146,99.27011844230499
Text,556,67,797702,99.33935818741307
quality,554,68,798256,99.40834886868981
mode,545,69,798801,99.47621876272561
collective,503,70,799304,99.53885831630359
type,428,71,799732,99.59215797620693
shared,349,72,800081,99.63561961477298
phase,332,73,800413,99.67696421077275
participation,229,74,800642,99.70548201945935
derivation,228,75,800870,99.7338752962303
Literal,215,76,801085,99.76064965809762
literal,215,77,801300,99.78742401996496
memberOf,203,78,801503,99.81270399884434
quantity,193,79,801696,99.83673865856711
situation,169,80,801865,99.85778455231399
abstract,151,81,802016,99.87658887157895
model.1,121,82,802137,99.89165723337405
Project,121,83,802258,99.90672559516915
datatype,88,84,802346,99.91768440374742
mixin,84,85,802430,99.92814508466303
externalDependence,77,86,802507,99.937734042169
instantiation,69,87,802576,99.94632674434968
enumeration,65,88,802641,99.9544213188677
creation,61,89,802702,99.96201776572309
historicalDependence,44,90,802746,99.96749717001222
comparative,37,91,802783,99.97210485089171
manifestation,34,92,802817,99.97633893602422
bringsAbout,30,93,802847,99.98007489349408
subCollectionOf,28,94,802875,99.98356178713261
historicalRole,23,95,802898,99.98642602119284
phaseMixin,20,96,802918,99.98891665950607
PackageView,17,97,802935,99.99103370207234
participational,17,98,802952,99.9931507446386
triggers,16,99,802968,99.9951432552892
subQuantityOf,14,100,802982,99.99688670210844
historicalRoleMixin,9,101,802991,99.9980074893494
subsetsProperty,6,102,802997,99.99875468084338
termination,5,103,803002,99.99937734042169
categorizer,3,104,803005,99.99975093616868
redefinesProperty,2,105,803007,100.0
begin,0,106,803007,100.0
AggregationKind,0,107,803007,100.0
abstractNature,0,108,803007,100.0
extrinsicModeNature,0,109,803007,100.0
NodeView,0,110,803007,100.0
ModelElement,0,111,803007,100.0
intrinsicModeNature,0,112,803007,100.0
GeneralizationSetView,0,113,803007,100.0
ElementView,0,114,803007,100.0
Classifier,0,115,803007,100.0
ClassStereotype,0,116,803007,100.0
collectiveNature,0,117,803007,100.0
DecoratableElement,0,118,803007,100.0
ConnectorView,0,119,803007,100.0
DiagramElement,0,120,803007,100.0
end,0,121,803007,100.0
eventNature,0,122,803007,100.0
functionalComplexNature,0,123,803007,100.0
OntologicalNature,0,124,803007,100.0
owner,0,125,803007,100.0
RelationView,0,126,803007,100.0
RelationStereotype,0,127,803007,100.0
quantityNature,0,128,803007,100.0
RectangularShape,0,129,803007,100.0
PropertyStereotype,0,130,803007,100.0
property,0,131,803007,100.0
qualityNature,0,132,803007,100.0
OntoumlElement,0,133,803007,100.0
Note,0,134,803007,100.0
NoteView,0,135,803007,100.0
relatorNature,0,136,803007,100.0
Shape,0,137,803007,100.0
Stereotype,0,138,803007,100.0
situationNature,0,139,803007,100.0
text,0,140,803007,100.0
typeNature,0,141,803007,100.0
