Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,1071,1,1071,19.469187420469005
kind,964,2,2035,36.993273950190876
role,475,3,2510,45.62806762406835
event,453,4,2963,53.86293401199782
relator,376,5,3339,60.69805489910925
category,355,6,3694,67.15142701327032
mode,301,7,3995,72.623159425559
roleMixin,286,8,4281,77.82221414288311
quality,249,9,4530,82.34866387929468
none,215,10,4745,86.25704417378658
phase,204,11,4949,89.96546082530449
type,107,12,5056,91.91056171605163
other,85,13,5141,93.45573532085075
datatype,79,14,5220,94.89183784766406
situation,73,15,5293,96.21886929649155
collective,71,16,5364,97.50954371932376
enumeration,40,17,5404,98.23668423922923
mixin,27,18,5431,98.72750409016543
historicalRole,23,19,5454,99.14560988911107
phaseMixin,20,20,5474,99.50918014906381
quantity,17,21,5491,99.81821487002364
historicalRoleMixin,9,22,5500,99.98182148700236
abstract,1,23,5501,100.0
