Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,85,1,85,10.855683269476373
relator,79,2,164,20.94508301404853
subkind,76,3,240,30.65134099616858
category,74,4,314,40.102171136653894
role,72,5,386,49.297573435504475
mode,51,6,437,55.81098339719029
event,49,7,486,62.06896551724138
roleMixin,46,8,532,67.94380587484035
quality,43,9,575,73.43550446998724
phase,35,10,610,77.90549169859514
collective,28,11,638,81.48148148148148
type,23,12,661,84.41890166028098
datatype,21,13,682,87.10089399744572
none,20,14,702,89.65517241379311
situation,19,15,721,92.08173690932313
mixin,17,16,738,94.25287356321839
other,15,17,753,96.16858237547893
quantity,9,18,762,97.31800766283524
phaseMixin,8,19,770,98.33971902937421
enumeration,5,20,775,98.97828863346105
historicalRole,4,21,779,99.48914431673053
historicalRoleMixin,3,22,782,99.87228607918263
abstract,1,23,783,100.0
