Construct,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,1007,1,1007,20.563610373698182
kind,912,2,1919,39.187257504594655
role,409,3,2328,47.53930978149888
event,346,4,2674,54.60486011843986
relator,342,5,3016,61.58872779252603
category,297,6,3313,67.65366550949561
roleMixin,265,7,3578,73.06514192362671
mode,265,8,3843,78.47661833775781
quality,242,9,4085,83.41841944047376
phase,197,10,4282,87.44129058607311
none,152,11,4434,90.54523177455584
datatype,78,12,4512,92.13804370022463
type,77,13,4589,93.7104349601797
situation,68,14,4657,95.09904022871144
collective,67,15,4724,96.4672248315295
other,52,16,4776,97.52909944864201
enumeration,40,17,4816,98.34592607719011
historicalRole,23,18,4839,98.81560138860527
phaseMixin,20,19,4859,99.22401470287932
mixin,17,20,4876,99.57116602001224
quantity,11,21,4887,99.79579334286298
historicalRoleMixin,9,22,4896,99.9795793342863
abstract,1,23,4897,100.0
