Construct,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,1007,1,1007,21.45748987854251
kind,912,2,1919,40.89068825910931
role,409,3,2328,49.605795866183676
event,346,4,2674,56.97847858512678
relator,342,5,3016,64.26592797783933
category,297,6,3313,70.59450245045812
roleMixin,265,7,3578,76.24121031323247
mode,265,8,3843,81.88791817600682
quality,242,9,4085,87.04453441295547
phase,197,10,4282,91.24227572981034
datatype,78,11,4360,92.9043255913062
type,77,12,4437,94.54506712124441
situation,68,13,4505,95.99403366716386
collective,67,14,4572,97.42169188152567
enumeration,40,15,4612,98.27402514383124
historicalRole,23,16,4635,98.76411676965694
phaseMixin,20,17,4655,99.19028340080972
mixin,17,18,4672,99.55252503728958
quantity,11,19,4683,99.78691668442362
historicalRoleMixin,9,20,4692,99.97869166844237
abstract,1,21,4693,100.0
