Construct,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,101,1,101,11.123348017621145
relator,91,2,192,21.145374449339208
subkind,88,3,280,30.837004405286343
category,86,4,366,40.308370044052865
role,84,5,450,49.55947136563877
mode,58,6,508,55.947136563876654
roleMixin,54,7,562,61.89427312775331
event,53,8,615,67.73127753303964
quality,44,9,659,72.57709251101322
phase,41,10,700,77.09251101321586
collective,35,11,735,80.94713656387665
type,26,12,761,83.81057268722468
datatype,26,13,787,86.67400881057269
none,23,14,810,89.20704845814979
mixin,22,15,832,91.62995594713657
situation,21,16,853,93.94273127753304
other,19,17,872,96.0352422907489
quantity,12,18,884,97.3568281938326
enumeration,8,19,892,98.23788546255507
phaseMixin,8,20,900,99.11894273127754
historicalRole,4,21,904,99.55947136563876
historicalRoleMixin,3,22,907,99.8898678414097
abstract,1,23,908,100.0
