Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,24,1,24,11.538461538461538
role,22,2,46,22.115384615384613
category,20,3,66,31.73076923076923
relator,20,4,86,41.34615384615385
subkind,19,5,105,50.480769230769226
roleMixin,14,6,119,57.21153846153846
event,12,7,131,62.980769230769226
mode,12,8,143,68.75
collective,9,9,152,73.07692307692307
mixin,8,10,160,76.92307692307693
phase,8,11,168,80.76923076923077
other,7,12,175,84.13461538461539
none,7,13,182,87.5
type,6,14,188,90.38461538461539
datatype,6,15,194,93.26923076923077
quantity,5,16,199,95.67307692307693
situation,4,17,203,97.59615384615384
enumeration,3,18,206,99.03846153846155
quality,2,19,208,100.0
historicalRole,0,20,208,100.0
abstract,0,21,208,100.0
phaseMixin,0,22,208,100.0
historicalRoleMixin,0,23,208,100.0
