Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
none,2017,1,2017,42.72399915272188
mediation,677,2,2694,57.06418131751747
characterization,420,3,3114,65.96060156746452
material,346,4,3460,73.28955729718281
componentOf,240,5,3700,78.37322601143826
other,217,6,3917,82.96970980724423
participation,211,7,4128,87.43910188519382
derivation,110,8,4238,89.7691167125609
memberOf,77,9,4315,91.40012709171785
externalDependence,75,10,4390,92.9887735649227
instantiation,69,11,4459,94.45032832027113
creation,60,12,4519,95.72124549883499
historicalDependence,44,13,4563,96.65325142978183
comparative,37,14,4600,97.43698368989621
manifestation,34,15,4634,98.1571700910824
bringsAbout,30,16,4664,98.79262868036433
participational,17,17,4681,99.15272188095743
triggers,16,18,4697,99.49163312857445
subQuantityOf,11,19,4708,99.72463461131116
subCollectionOf,8,20,4716,99.89409023511968
termination,5,21,4721,100.0
