Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
mediation,62,1,62,15.938303341902312
characterization,57,2,119,30.59125964010283
material,38,3,157,40.3598971722365
componentOf,32,4,189,48.58611825192802
derivation,30,5,219,56.29820051413882
participation,28,6,247,63.49614395886889
memberOf,21,7,268,68.89460154241645
externalDependence,20,8,288,74.03598971722364
creation,18,9,306,78.66323907455013
instantiation,17,10,323,83.03341902313625
historicalDependence,16,11,339,87.146529562982
manifestation,12,12,351,90.23136246786633
bringsAbout,12,13,363,93.31619537275064
triggers,10,14,373,95.88688946015425
comparative,5,15,378,97.17223650385604
participational,4,16,382,98.20051413881748
termination,3,17,385,98.97172236503856
subQuantityOf,2,18,387,99.48586118251927
subCollectionOf,2,19,389,100.0
