Construct,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
none,2227,1,2227,29.614361702127663
mediation,1967,2,4194,55.77127659574468
material,623,3,4817,64.05585106382978
characterization,558,4,5375,71.47606382978722
componentOf,551,5,5926,78.8031914893617
other,531,6,6457,85.86436170212765
derivation,219,7,6676,88.77659574468085
participation,211,8,6887,91.58244680851064
memberOf,203,9,7090,94.28191489361703
externalDependence,77,10,7167,95.30585106382978
instantiation,69,11,7236,96.22340425531914
creation,60,12,7296,97.02127659574468
historicalDependence,44,13,7340,97.6063829787234
comparative,37,14,7377,98.09840425531915
manifestation,34,15,7411,98.55053191489361
bringsAbout,30,16,7441,98.94946808510639
subCollectionOf,27,17,7468,99.30851063829788
participational,17,18,7485,99.5345744680851
triggers,16,19,7501,99.74734042553192
subQuantityOf,14,20,7515,99.93351063829788
termination,5,21,7520,100.0
