Construct,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
none,105,1,105,17.128874388254488
mediation,77,2,182,29.690048939641112
characterization,68,3,250,40.78303425774878
material,54,4,304,49.59216965742252
componentOf,45,5,349,56.933115823817296
derivation,39,6,388,63.2952691680261
other,35,7,423,69.00489396411092
memberOf,31,8,454,74.06199021207178
participation,29,9,483,78.79282218597064
externalDependence,22,10,505,82.38172920065253
creation,18,11,523,85.31810766721044
instantiation,17,12,540,88.09135399673735
historicalDependence,16,13,556,90.70146818923328
manifestation,12,14,568,92.65905383360521
bringsAbout,12,15,580,94.61663947797716
triggers,10,16,590,96.24796084828712
comparative,6,17,596,97.22675367047309
subCollectionOf,6,18,602,98.20554649265905
participational,4,19,606,98.85807504078304
subQuantityOf,4,20,610,99.510603588907
termination,3,21,613,100.0
