Construct,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
mediation,77,1,77,16.27906976744186
characterization,68,2,145,30.655391120507396
material,54,3,199,42.071881606765324
componentOf,45,4,244,51.58562367864693
derivation,39,5,283,59.830866807610995
memberOf,31,6,314,66.38477801268499
participation,29,7,343,72.51585623678648
externalDependence,22,8,365,77.16701902748414
creation,18,9,383,80.97251585623678
instantiation,17,10,400,84.56659619450318
historicalDependence,16,11,416,87.9492600422833
manifestation,12,12,428,90.48625792811839
bringsAbout,12,13,440,93.02325581395348
triggers,10,14,450,95.13742071881607
comparative,6,15,456,96.40591966173362
subCollectionOf,6,16,462,97.67441860465115
participational,4,17,466,98.5200845665962
subQuantityOf,4,18,470,99.36575052854123
termination,3,19,473,100.0
